,id_left,name_left,is_tbd,geometry,index_right,id_right,name_right,color,feature_id,coordinates,geometry_type
47,ume-sweden,"Umeå, Sweden",False,POINT (20.262950505879612 63.82586986108827),,,,,,,
48,nynashamn-sweden,"Nynashamn, Sweden",False,POINT (17.94654589684356 58.902924681852696),,,,,,,
49,meremisa-estonia,"Meremöisa, Estonia",False,POINT (24.276619537558968 59.40084650364711),,,,,,,
50,dubrovnik-croatia,"Dubrovnik, Croatia",False,POINT (18.106409064843877 42.64186152795143),,,,,,,
51,aethos-greece,"Aethos, Greece",False,POINT (20.01544924229398 39.683615198996556),,,,,,,
52,corfu-greece,"Corfu, Greece",False,POINT (19.9194937179377 39.61929827180403),,,,,,,
53,durres-albania,"Durres, Albania",False,POINT (19.45006045673864 41.316693174085714),,,,,,,
54,bridgetown-barbados,"Bridgetown, Barbados",False,POINT (-59.61336009649245 13.098954014787664),,,,,,,
55,castries-saint-lucia,"Castries, Saint Lucia",False,POINT (-61.00681614060512 13.994222056803721),,,,,,,
56,pointe-a-pitre-guadeloupe,"Pointe-a-Pitre, Guadeloupe",False,POINT (-61.53308529904113 16.241044022954217),,,,,,,
57,roseau-dominica,"Roseau, Dominica",False,POINT (-61.37073189842878 15.251799221840017),,,,,,,
58,the-valley-anguilla,"The Valley, Anguilla",False,POINT (-63.0572053130902 18.217405253293137),,,,,,,
59,santos-brazil,"Santos, Brazil",False,POINT (-46.32806677354495 -23.961845467703107),,,,,,,
60,al-khums-libya,"Al Khums, Libya",False,POINT (14.26441959904531 32.64966152384897),,,,,,,
61,zawia-libya,"Zawia, Libya",False,POINT (12.529752859149395 32.774720416295295),,,,,,,
62,zuwara-libya,"Zuwara, Libya",False,POINT (12.083366456623823 32.93337907602355),,,,,,,
63,hermosa-beach-ca-united-states,"Hermosa Beach, CA, United States",False,POINT (-118.39954892055475 33.862232632157735),,,,,,,
64,sandy-point-vic-australia,"Sandy Point, VIC, Australia",False,POINT (146.11969728527944 -38.82018266620627),,,,,,,
65,four-mile-bluff-tas-australia,"Four Mile Bluff, TAS, Australia",False,POINT (146.85016551780996 -41.03327707528322),,,,,,,
66,mcgaurans-beach-vic-australia,"McGaurans Beach, VIC, Australia",False,POINT (147.07125911118302 -38.44361560267599),,,,,,,
67,stanley-tas-australia,"Stanley, TAS, Australia",False,POINT (145.29411193263084 -40.760375144220674),,,,,,,
68,inverloch-vic-australia,"Inverloch, VIC, Australia",False,POINT (145.72946318672496 -38.63345276915476),,,,,,,
69,boat-harbour-tas-australia,"Boat Harbour, TAS, Australia",False,POINT (145.62379919907835 -40.95086828582336),,,,,,,
70,balboa-panama,"Balboa, Panama",False,POINT (-79.56667848090554 8.950027090049982),,,,,,,
71,manta-ecuador,"Manta, Ecuador",False,POINT (-80.71618938533148 -0.950019548909037),,,,,,,
72,hudishibana-aruba,"Hudishibana, Aruba",False,POINT (-70.04997379684741 12.616634445885316),,,,,,,
73,tyra-denmark,"Tyra, Denmark",False,POINT (4.748508371456093 55.71560692113311),,,,,,,
74,valdemar-denmark,"Valdemar, Denmark",False,POINT (4.564328814430503 55.80407237566748),,,,,,,
75,south-arne-denmark,"South Arne, Denmark",False,POINT (4.228391552411684 56.07828845791397),,,,,,,
76,ajaccio-france,"Ajaccio, France",False,POINT (8.738642263557752 41.91932911005837),,,,,,,
77,la-seyne-france,"La Seyne, France",False,POINT (5.878097414994473 43.1029080448373),,,,,,,
78,lle-rousse-france,"L’Île-Rousse, France",False,POINT (8.937079622982862 42.6365095071255),,,,,,,
79,cannes-france,"Cannes, France",False,POINT (7.01735442043418 43.552927166028965),,,,,,,
80,condado-beach-pr-united-states,"Condado Beach, PR, United States",False,POINT (-66.07795512628769 18.459899231626796),,,,,,,
81,alsgarde-denmark,"Alsgarde, Denmark",False,POINT (12.536881760350429 56.074882184341305),,,,,,,
82,huahine-french-polynesia,"Huahine, French Polynesia",False,POINT (-151.0000690389311 -16.730055979033075),,,,,,,
83,moorea-french-polynesia,"Moorea, French Polynesia",False,POINT (-149.82956205562922 -17.538774974102118),,,,,,,
84,uturoa-french-polynesia,"Uturoa, French Polynesia",False,POINT (-151.4430374751281 -16.73090937041819),,,,,,,
85,vaitape-french-polynesia,"Vaitape, French Polynesia",False,POINT (-151.7495313986299 -16.506324613958466),,,,,,,
86,nasugbu-philippines,"Nasugbu, Philippines",False,POINT (120.62301068928154 14.088187386038742),,,,,,,
87,pinamalayan-philippines,"Pinamalayan, Philippines",False,POINT (121.46453896997501 13.045778897500922),,,,,,,
88,roxas-city-philippines,"Roxas City, Philippines",False,POINT (122.74998727810134 11.583305826411662),,,,,,,
89,masbate-city-philippines,"Masbate City, Philippines",False,POINT (123.61668588287377 12.36672505260177),,,,,,,
90,legazpi-city-philippines,"Legazpi City, Philippines",False,POINT (123.74373657411985 13.139089344982024),,,,,,,
91,calbayog-philippines,"Calbayog, Philippines",False,POINT (124.60027893608729 12.069906190827878),,,,,,,
92,ormoc-philippines,"Ormoc, Philippines",False,POINT (124.61277892723209 11.006888634178475),,,,,,,
93,cebu-philippines,"Cebu, Philippines",False,POINT (123.89461537348717 10.310033388932034),,,,,,,
94,cadiz-city-philippines,"Cadiz City, Philippines",False,POINT (123.29998688847635 10.950026359206582),,,,,,,
95,dumaguete-philippines,"Dumaguete, Philippines",False,POINT (123.28143221412073 9.295611105669924),,,,,,,
96,ozamiz-city-philippines,"Ozamiz City, Philippines",False,POINT (123.84998649885156 8.15002871017614),,,,,,,
97,cagayan-de-oro-philippines,"Cagayan de Oro, Philippines",False,POINT (124.6319195386728 8.454228346754538),,,,,,,
98,butuan-city-philippines,"Butuan City, Philippines",False,POINT (125.54061030119786 8.947615403087521),,,,,,,
99,san-jose-de-buenavista-philippines,"San Jose de Buenavista, Philippines",False,POINT (121.94129644473541 10.748806024464415),,,,,,,
100,santiago-de-cuba-cuba,"Santiago de Cuba, Cuba",False,POINT (-75.82897360919968 20.028793830551784),,,,,,,
101,killala-ireland,"Killala, Ireland",False,POINT (-9.23219461510775 54.20682940735113),,,,,,,
102,cork-ireland,"Cork, Ireland",False,POINT (-8.472771324965343 51.89833468681305),,,,,,,
103,milton-nl-canada,"Milton, NL, Canada",False,POINT (-53.96023910121645 48.20761257904667),,,,,,,
104,nelson-new-zealand,"Nelson, New Zealand",False,POINT (173.28395005547594 -41.2722550869257),,,,,,,
105,ngwe-saung-myanmar,"Ngwe Saung, Myanmar",False,POINT (94.39121830521923 16.858028367792194),,,,,,,
106,yanbu-saudi-arabia,"Yanbu, Saudi Arabia",False,POINT (38.10698083375123 24.070555564820936),,,,,,,
107,toulon-france,"Toulon, France",False,POINT (5.930343471732967 43.12529261338072),,,,,,,
108,buenaventura-colombia,"Buenaventura, Colombia",False,POINT (-77.0403008760841 3.883674880769303),,,,,,,
109,puerto-chacabuco-chile,"Puerto Chacabuco, Chile",False,POINT (-72.805098798216 -45.45830050296172),,,,,,,
110,quellon-chile,"Quellon, Chile",False,POINT (-73.47946355486467 -43.117473610870405),,,,,,,
111,gav-spain,"Gavá, Spain",False,POINT (2.001342348824283 41.304002941820244),,,,,,,
112,fomboni-moheli-comoros,"Fomboni Moheli, Comoros",False,POINT (43.73959403105522 -12.288236282174532),,,,,,,
