,Unnamed: 0,Vessel_Name,URL,Location,Time,Latitude,Longtitude,Time
49,49,EURODAM,https://www.myshiptracking.com/vessels/vessels/eurodam-mmsi-245206000-imo-9378448,,,,,
50,50,RCC PASSION,https://www.myshiptracking.com/vessels/vessels/rcc-passion-mmsi-311048200-imo-9453107,,,,,
51,51,DUMBO II,https://www.myshiptracking.com/vessels/vessels/dumbo-ii-mmsi-247053140-imo-0,,,,,
52,52,HV42 JANNI,https://www.myshiptracking.com/vessels/vessels/hv42-janni-mmsi-219013708-imo-0,,,,,
53,53,MAHANA,https://www.myshiptracking.com/vessels/vessels/mahana-mmsi-232046194-imo-,,,,,
54,54,CAMANO SOUND,https://www.myshiptracking.com/vessels/vessels/camano-sound-mmsi-316030654-imo-5056561,,,,,
55,55,AMALEA,https://www.myshiptracking.com/vessels/vessels/amalea-mmsi-269057631-imo-0,,,,,
56,56,COURAGE,https://www.myshiptracking.com/vessels/vessels/courage-mmsi-253469000-imo-0,,,,,
57,57,FIONIA SEA,https://www.myshiptracking.com/vessels/vessels/fionia-sea-mmsi-255816000-imo-9395343,,,,,
58,58,MASTODONT,https://www.myshiptracking.com/vessels/vessels/mastodont-mmsi-244780611-imo-0,,,,,
59,59,TACHIBANA,https://www.myshiptracking.com/vessels/vessels/tachibana-mmsi-431026222-imo-0,,,,,
60,60,ZEUS,https://www.myshiptracking.com/vessels/vessels/zeus-mmsi-241824000-imo-8116439,,,,,
61,61,CANDY COUNTER,https://www.myshiptracking.com/vessels/vessels/candy-counter-mmsi-367197410-imo-9550943,,,,,
62,62,IZANA,https://www.myshiptracking.com/vessels/vessels/izana-mmsi-2241150-imo-,,,,,
63,63,LAUPEN,https://www.myshiptracking.com/vessels/vessels/laupen-mmsi-257024650-imo-0,,,,,
64,64,WILSON ONEGA,https://www.myshiptracking.com/vessels/vessels/wilson-onega-mmsi-314472000-imo-9156199,,,,,
65,65,EMERALD GRATIA,https://www.myshiptracking.com/vessels/vessels/emerald-gratia-mmsi-250000511-imo-9342449,,,,,
66,66,TYDA KYRA,https://www.myshiptracking.com/vessels/vessels/tyda-kyra-mmsi-244660200-imo-0,,,,,
67,67,MARE_BLU   : .,https://www.myshiptracking.com/vessels/vessels/mare-blu--mmsi-247252970-imo-0,,,,,
68,68,FREEDOM,https://www.myshiptracking.com/vessels/vessels/freedom-mmsi-367416420-imo-0,,,,,
69,69,FLYER,https://www.myshiptracking.com/vessels/vessels/flyer-mmsi-368360320-imo-,,,,,
70,70,CRYSTAL CUTLER,https://www.myshiptracking.com/vessels/vessels/crystal-cutler-mmsi-367469910-imo-0,,,,,
71,71,KLAIPEDA,https://www.myshiptracking.com/vessels/vessels/klaipeda-mmsi-277391000-imo-9106584,,,,,
72,72,SERENITY,https://www.myshiptracking.com/vessels/vessels/serenity-mmsi-512001106-imo-,,,,,
73,73,FILE MOU,https://www.myshiptracking.com/vessels/vessels/file-mou-mmsi-533132845-imo-,,,,,
74,74,DIONNE,https://www.myshiptracking.com/vessels/vessels/dionne-mmsi-244690013-imo-,,,,,
75,75,VEGA,https://www.myshiptracking.com/vessels/vessels/vega-mmsi-247051950-imo-0,,,,,
76,76,PESCARUS 2,https://www.myshiptracking.com/vessels/vessels/pescarus-2-mmsi-264900065-imo-0,,,,,
77,77,AL WASL,https://www.myshiptracking.com/vessels/vessels/al-wasl-mmsi-470091000-imo-0,,,,,
78,78,S/Y ARTEMIS,https://www.myshiptracking.com/vessels/vessels/s-y-artemis-mmsi-240016200-imo-,,,,,
