,Vessel_Name,URL
60,MARIO RUIVO,https://www.myshiptracking.com/vessels/vessels/mario-ruivo-mmsi-263762000-imo-8402010
61,XIANG XING 8899,https://www.myshiptracking.com/vessels/vessels/xiang-xing-8899-mmsi-352004983-imo-1098846
62,EILTANK7,https://www.myshiptracking.com/vessels/vessels/eiltank7-mmsi-211436850-imo-0
63,MALKA,https://www.myshiptracking.com/vessels/vessels/malka-mmsi-205418070-imo-
64,DAE SUNG 6003HO,https://www.myshiptracking.com/vessels/vessels/dae-sung-6003ho-mmsi-440741400-imo-0
65,HENDRIK-KLAAS,https://www.myshiptracking.com/vessels/vessels/hendrik-klaas-mmsi-244900117-imo-0
66,MINERVA EMILY,https://www.myshiptracking.com/vessels/vessels/minerva-emily-mmsi-229084000-imo-9380063
67,MARTINA 2,https://www.myshiptracking.com/vessels/vessels/martina-2-mmsi-244700833-imo-0
68,DOMPHOORN,https://www.myshiptracking.com/vessels/vessels/domphoorn-mmsi-244700259-imo-0
69,MSC YUKTA X,https://www.myshiptracking.com/vessels/vessels/msc-yukta-x-mmsi-636022658-imo-0
70,UNI SUPPLY 1,https://www.myshiptracking.com/vessels/vessels/uni-supply-1-mmsi-563033240-imo-9704037
71,LENA-ADRIANA,https://www.myshiptracking.com/vessels/vessels/lena-adriana-mmsi-244670504-imo-0
72,JIAHONG,https://www.myshiptracking.com/vessels/vessels/jiahong-mmsi-353326000-imo-8934051
73,AGIOS NIKOLAOS,https://www.myshiptracking.com/vessels/vessels/agios-nikolaos-mmsi-237829800-imo-8739449
74,VOLHARDING 5,https://www.myshiptracking.com/vessels/vessels/volharding-5-mmsi-244710872-imo-0
75,GERI T,https://www.myshiptracking.com/vessels/vessels/geri-t-mmsi-366870980-imo-0
76,ANIKITOS,https://www.myshiptracking.com/vessels/vessels/anikitos-mmsi-538010235-imo-9953444
77,FUJI,https://www.myshiptracking.com/vessels/vessels/fuji-mmsi-431200681-imo-9093311
78,CADAL,https://www.myshiptracking.com/vessels/vessels/cadal-mmsi-316003137-imo-0
79,PMS RIB 333,https://www.myshiptracking.com/vessels/vessels/pms-rib-333-mmsi-535220227-imo-
80,TB PATRIA 41,https://www.myshiptracking.com/vessels/vessels/tb-patria-41-mmsi-525701250-imo-1065681
81,SAGA JOURNEY,https://www.myshiptracking.com/vessels/vessels/saga-journey-mmsi-311001621-imo-9363637
82,ADNOC MD 01,https://www.myshiptracking.com/vessels/vessels/adnoc-md-01-mmsi-470150000-imo-9996355
83,BLUE CARRIER 2,https://www.myshiptracking.com/vessels/vessels/blue-carrier-2-mmsi-241895000-imo-9125384
84,MEDUSA 1,https://www.myshiptracking.com/vessels/vessels/medusa-1-mmsi-212983128-imo-
85,2053501,https://www.myshiptracking.com/vessels/vessels/2053501-mmsi-2053501-imo-
86,TALISMAN,https://www.myshiptracking.com/vessels/vessels/talisman-mmsi-244740231-imo-0
87,SULEBAS,https://www.myshiptracking.com/vessels/vessels/sulebas-mmsi-257305000-imo-9675092
88,ARMINDO JOSE,https://www.myshiptracking.com/vessels/vessels/armindo-jose-mmsi-204254000-imo-0
89,AQUITAINE,https://www.myshiptracking.com/vessels/vessels/aquitaine-mmsi-244700039-imo-0
90,H.HASAN KAPTAN,https://www.myshiptracking.com/vessels/vessels/hhasan-kaptan-mmsi-271010284-imo-0
91,ATLANTIC,https://www.myshiptracking.com/vessels/vessels/atlantic-mmsi-241770000-imo-9912139
92,DILIGENCE,https://www.myshiptracking.com/vessels/vessels/diligence-mmsi-563204400-imo-9955820
93,AKATSUKI,https://www.myshiptracking.com/vessels/vessels/akatsuki-mmsi-431019461-imo-0
94,MARITINDO PERKASA 8,https://www.myshiptracking.com/vessels/vessels/maritindo-perkasa-8-mmsi-525201316-imo-9920863
95,MARCAP AIDA,https://www.myshiptracking.com/vessels/vessels/marcap-aida-mmsi-572325220-imo-9632442
96,AVANTI,https://www.myshiptracking.com/vessels/vessels/avanti-mmsi-244650905-imo-0
97,NORD AQUARIUS,https://www.myshiptracking.com/vessels/vessels/nord-aquarius-mmsi-352001358-imo-9941398
98,SERFRA,https://www.myshiptracking.com/vessels/vessels/serfra-mmsi-244660315-imo-0
99,AL DURRAH,https://www.myshiptracking.com/vessels/vessels/al-durrah-mmsi-470471000-imo-9647368
100,AMETHYST,https://www.myshiptracking.com/vessels/vessels/amethyst-mmsi-232025724-imo-20180647
101,IJVEER 63,https://www.myshiptracking.com/vessels/vessels/ijveer-63-mmsi-244180881-imo-0
102,FAIRPLAY-97,https://www.myshiptracking.com/vessels/vessels/fairplay-97-mmsi-261008481-imo-1026922
103,SVANTE G,https://www.myshiptracking.com/vessels/vessels/svante-g-mmsi-230046580-imo-0
104,ZEALOT,https://www.myshiptracking.com/vessels/vessels/zealot-mmsi-367434290-imo-0
105,KALIMERA,https://www.myshiptracking.com/vessels/vessels/kalimera-mmsi-227051710-imo-
106,HAVENDIENST 2,https://www.myshiptracking.com/vessels/vessels/havendienst-2-mmsi-244710450-imo-0
107,NIRVANA,https://www.myshiptracking.com/vessels/vessels/nirvana-mmsi-244670060-imo-0
108,TB NUSA XXXV1 2024,https://www.myshiptracking.com/vessels/vessels/tb-nusa-xxxv1-2024-mmsi-525801826-imo-1113323
109,SEASPAN YANGTZE,https://www.myshiptracking.com/vessels/vessels/seaspan-yangtze-mmsi-477441400-imo-0
110,NIKI MILA UTAMA,https://www.myshiptracking.com/vessels/vessels/niki-mila-utama-mmsi-525201326-imo-9045883
111,RVE49,https://www.myshiptracking.com/vessels/vessels/rve49-mmsi-244790537-imo-0
112,NIMAOME EMRAN,https://www.myshiptracking.com/vessels/vessels/nimaome-emran-mmsi-525121083-imo-9991032
